area_sqft,bedrooms,floor_level,locality_score,rental_price
848.1,5,17,4.8,60784.2
2927.4,3,2,3.9,43957.65
2908.5,2,20,1.3,63174.82
1375.3,1,14,9.1,24630.74
2457.1,4,19,9.2,75182.79
2909.6,3,6,9.7,35822.58
1522.1,2,5,7.3,16142.09
2627.9,2,2,9.9,16492.02
305.3,3,5,7.2,33964.92
1794.0,5,19,4.7,72990.33
771.2,2,18,1.6,48110.92
2062.4,2,12,8.3,48985.08
1925.5,3,16,7.3,54503.9
1450.5,2,17,6.4,50075.73
2261.0,5,10,8.4,61645.25
1018.6,5,18,4.2,65674.81
1014.8,3,7,2.7,32368.52
1078.1,3,6,6.8,26722.12
1988.8,4,6,9.0,42423.3
2051.9,4,6,7.8,43874.68
2002.8,2,19,2.3,51861.68
844.3,4,11,1.8,52377.6
2758.4,3,14,3.7,55521.48
376.1,2,15,3.7,52270.55
2162.7,5,6,2.6,52117.91
